x,y,outcome
2.92,103.2,0
20.22,137.0,1
14.85,253.7,0
5.14,249.7,0
28.79,243.1,0
8.04,220.3,0
6.53,274.7,1
12.92,150.2,0
16.94,276.8,0
37.94,150.1,0
31.70,135.7,1
19.34,254.2,0
27.36,210.0,0
6.27,244.8,0
3.26,173.4,1
33.07,295.9,0
35.41,154.2,0
17.16,273.3,1
4.36,286.1,0
4.71,215.8,0
8.86,299.1,0
18.21,179.2,0
5.60,106.5,1
25.64,182.1,0
30.89,162.4,0
20.59,279.9,0
17.00,161.3,0
6.77,179.5,0
32.68,299.4,1
19.69,136.9,0
24.22,104.3,0
10.48,207.7,0
19.89,287.5,0
12.47,216.9,1
30.93,213.1,0
13.36,104.6,0
14.11,259.0,0
22.10,197.4,0
16.84,281.4,0
20.64,291.6,0
15.47,172.9,0
29.39,272.9,0
4.77,258.9,1
33.19,281.0,0
6.03,265.5,0
30.59,255.3,1
2.07,128.8,1
15.03,156.7,1
7.10,243.9,0
4.42,113.6,0
39.87,246.2,1
22.72,205.8,1
15.63,255.4,0
37.65,280.9,1
34.54,230.4,0
39.20,121.7,0
0.92,278.7,0
1.06,242.5,0
31.28,249.4,0
24.89,192.8,0
7.48,103.2,1
11.80,251.8,0
16.45,129.1,0
37.21,110.6,1
25.07,269.6,0
4.61,285.1,0
36.67,257.0,0
19.75,180.2,0
11.13,250.1,1
6.23,285.1,0
24.63,218.5,0
21.23,192.7,1
23.22,293.3,0
26.88,235.5,1
30.90,194.1,0
18.39,275.3,0
38.00,152.9,0
38.48,157.0,0
8.19,256.1,0
10.08,156.5,0
31.26,100.2,0
31.15,289.8,0
4.30,227.9,0
27.55,121.8,1
2.07,197.0,0
17.76,213.1,0
28.66,146.6,0
27.40,122.0,0
36.58,104.0,0
16.68,280.7,0
5.97,271.1,0
24.57,200.7,0
18.07,166.8,0
38.23,282.5,0
35.50,206.6,0
6.09,167.2,0
20.55,160.4,0
15.48,252.1,0
39.35,279.2,1
10.04,172.2,0
22.88,298.3,0
12.64,155.6,0
10.37,102.2,1
20.60,141.2,1
37.13,138.4,0
12.31,230.7,0
0.45,134.3,1
28.01,253.3,1
3.50,136.0,0
23.99,245.6,0
19.52,161.1,1
15.70,256.5,0
26.38,119.8,1
8.44,140.2,0
30.85,186.7,0
27.31,167.3,0
39.06,270.2,0
38.27,239.1,0
12.60,233.8,0
14.88,200.8,0
1.53,258.3,1
8.30,142.5,0
19.23,198.1,0
7.09,272.4,0
31.20,252.0,0
17.98,240.4,0
28.23,219.2,0
18.06,285.8,0
37.78,291.2,0
38.78,245.4,0
32.01,259.6,0
28.11,146.3,0
3.67,224.2,0
6.96,264.4,1
38.75,266.5,0
16.37,215.9,0
3.85,179.3,0
7.05,138.1,0
32.28,123.7,1
12.82,183.6,0
4.29,118.5,0
8.55,274.3,0
13.08,147.4,1
1.90,171.0,0
31.05,107.4,1
11.38,167.0,0
39.26,294.0,0
4.53,191.4,0
31.19,226.5,1
6.61,111.8,0
32.14,113.3,1
27.68,167.6,1
5.71,289.2,0
15.29,139.2,0
24.29,207.8,0
35.96,131.6,1
14.06,192.8,0
16.92,236.6,0
21.71,141.6,0
32.61,242.5,1
3.82,229.8,0
16.59,247.0,0
15.30,206.7,1
39.69,145.5,1
12.08,253.7,0
39.55,165.2,1
34.62,247.9,1
35.33,279.9,0
4.67,253.9,0
24.03,178.4,0
11.34,171.2,0
32.44,192.8,0
29.15,169.8,0
30.99,123.4,0
19.28,279.2,0
36.78,243.4,0
20.24,237.2,0
30.05,113.5,0
24.57,149.7,1
5.42,296.1,0
0.81,113.8,0
0.04,102.6,1
33.63,232.4,0
28.94,121.7,1
23.65,251.9,0
26.20,255.6,0
19.30,239.7,0
16.15,156.6,0
5.92,259.8,0
6.37,145.8,0
39.91,218.3,0
37.30,143.4,1
38.14,217.1,0
12.16,185.7,0
32.05,260.6,1
32.50,105.2,0
19.32,119.5,0
16.96,182.6,0
30.60,261.5,0
37.99,255.8,0
15.52,248.3,0
18.06,284.7,0
39.09,227.2,0
0.70,118.3,0
39.26,261.1,1
4.05,264.6,1
3.14,118.6,0
25.94,260.5,0
30.29,199.1,0
15.67,233.9,0
4.04,228.2,1
14.97,112.9,0
14.19,133.8,1
12.39,180.4,1
35.74,230.4,1
0.19,120.6,0
12.52,242.7,0
16.79,270.4,0
5.52,106.0,0
15.92,172.9,0
30.80,240.7,0
38.76,104.9,1
27.73,146.2,1
29.29,106.1,1
15.12,215.9,1
16.65,278.6,0
25.11,221.3,1
26.39,193.4,0
7.04,101.0,0
36.32,152.5,0
21.37,219.3,0
9.39,225.2,0
39.28,232.2,0
20.21,299.3,0
29.71,122.1,1
1.52,183.6,0
25.29,179.6,0
27.44,178.5,0
21.11,280.6,1
13.44,209.8,1
14.87,157.4,0
17.69,257.3,1
8.84,146.7,0
26.47,277.7,0
15.54,225.3,0
32.00,287.5,0
14.40,142.4,0
32.23,222.4,0
36.08,152.5,0
10.90,191.0,0
9.32,227.5,0
8.25,162.0,0
9.02,150.5,0
39.65,215.5,1
1.85,152.8,0
25.73,240.8,0
21.03,179.0,1
28.37,279.4,0
15.30,148.8,1
30.51,184.1,0
25.55,219.4,0
32.92,175.6,0
11.17,292.6,0
10.64,126.0,0
11.76,205.4,0
23.37,169.2,0
6.92,242.6,0
34.69,262.1,0
28.70,198.4,1
28.57,119.4,0
28.81,251.3,0
3.47,146.8,1
9.91,249.7,0
26.72,207.9,0
15.04,193.0,0
7.71,138.8,0
37.91,208.7,1
